episode,return,steps,died,collected,epsilon
0,0.0,17,1,0,1.0
1,0.0,29,1,0,0.999905
2,0.0,4,1,0,0.99981
3,0.0,15,1,0,0.999715
4,0.0,30,1,0,0.99962
5,0.0,10,1,0,0.999525
6,1.0,87,1,2,0.99943
7,0.0,18,1,0,0.999335
8,0.0,21,1,0,0.99924
9,3.0,231,1,3,0.999145
10,0.0,50,1,0,0.99905
11,0.0,6,1,0,0.998955
12,0.0,15,1,0,0.99886
13,0.0,37,1,0,0.998765
14,0.0,4,1,0,0.99867
15,0.0,71,1,1,0.998575
16,0.0,57,1,0,0.99848
17,0.0,306,1,0,0.998385
18,0.0,23,1,0,0.99829
19,0.0,13,1,0,0.998195
20,0.0,14,1,0,0.9981
21,0.0,11,1,0,0.998005
22,0.0,10,1,0,0.99791
23,0.0,5,1,0,0.997815
24,0.0,4,1,0,0.99772
25,0.0,6,1,0,0.997625
26,0.0,17,1,0,0.99753
27,0.0,20,1,0,0.997435
28,0.0,8,1,0,0.99734
29,0.0,3,1,0,0.997245
30,0.0,8,1,0,0.99715
31,0.0,24,1,0,0.997055
32,0.0,46,1,0,0.99696
33,0.0,5,1,0,0.996865
34,0.0,6,1,0,0.99677
35,0.0,32,1,0,0.996675
36,0.0,65,1,0,0.99658
37,0.0,29,1,0,0.996485
38,0.0,150,1,1,0.99639
39,0.0,70,1,0,0.996295
40,0.0,23,1,0,0.9962
41,0.0,38,1,0,0.996105
42,0.0,97,1,1,0.99601
43,0.0,48,1,0,0.995915
44,0.0,55,1,0,0.99582
45,0.0,30,1,0,0.995725
46,1.0,213,1,2,0.99563
47,0.0,4,1,0,0.995535
48,0.0,46,1,0,0.99544
49,0.0,27,1,0,0.995345
50,1.0,118,1,2,0.99525
51,0.0,24,1,0,0.995155
52,0.0,13,1,0,0.9950600000000001
53,0.0,25,1,0,0.994965
54,0.0,15,1,0,0.99487
55,0.0,69,1,1,0.994775
56,0.0,26,1,0,0.99468
57,0.0,100,1,0,0.994585
58,0.0,29,1,0,0.99449
59,0.0,10,1,0,0.994395
60,0.0,42,1,0,0.9943
61,0.0,42,1,0,0.994205
62,0.0,17,1,0,0.99411
63,0.0,48,1,0,0.994015
64,3.0,265,1,3,0.99392
65,0.0,14,1,0,0.993825
66,0.0,21,1,0,0.99373
67,0.0,35,1,0,0.993635
68,4.0,207,0,4,0.99354
69,1.0,104,1,1,0.993445
70,0.0,21,1,0,0.99335
71,0.0,85,1,0,0.993255
72,0.0,10,1,0,0.99316
73,1.0,43,1,2,0.993065
74,0.0,118,1,1,0.99297
