episode,return,steps,died,collected,epsilon
0,0.0,800,0,0,1.0
1,0.0,800,0,0,0.999525
2,0.0,800,0,0,0.99905
3,0.0,800,0,0,0.998575
4,0.0,800,0,0,0.9981
5,0.0,800,0,0,0.997625
6,0.0,800,0,0,0.99715
7,0.0,800,0,0,0.996675
8,0.0,800,0,0,0.9962
9,0.0,800,0,0,0.995725
10,0.0,800,0,0,0.99525
11,0.0,800,0,0,0.994775
12,0.0,800,0,0,0.9943
13,0.0,800,0,0,0.993825
14,0.0,800,0,0,0.99335
15,0.0,800,0,0,0.992875
16,0.0,800,0,0,0.9924
17,2.0,736,0,2,0.991925
18,0.0,800,0,0,0.99145
19,0.0,800,0,0,0.990975
20,0.0,800,0,0,0.9905
21,0.0,800,0,0,0.990025
22,0.0,800,0,0,0.98955
23,0.0,800,0,0,0.989075
24,0.0,800,0,0,0.9886
25,0.0,800,0,1,0.988125
26,0.0,800,0,0,0.98765
27,0.0,800,0,0,0.987175
28,0.0,800,0,0,0.9867
29,0.0,800,0,0,0.986225
30,0.0,800,0,0,0.98575
31,0.0,800,0,0,0.985275
32,0.0,800,0,0,0.9848
33,0.0,800,0,0,0.984325
34,0.0,800,0,0,0.98385
35,0.0,800,0,0,0.983375
36,0.0,800,0,0,0.9829
37,0.0,800,0,0,0.982425
38,0.0,800,0,0,0.98195
39,0.0,800,0,0,0.981475
40,0.0,800,0,0,0.981
41,0.0,800,0,0,0.980525
42,0.0,800,0,0,0.98005
43,0.0,800,0,0,0.979575
44,0.0,800,0,0,0.9791
45,0.0,800,0,0,0.978625
46,0.0,800,0,0,0.97815
47,0.0,800,0,0,0.977675
48,0.0,800,0,0,0.9772
49,0.0,800,0,0,0.976725
50,0.0,800,0,0,0.97625
51,0.0,800,0,0,0.9757750000000001
52,0.0,800,0,1,0.9753000000000001
53,0.0,800,0,0,0.974825
54,0.0,800,0,0,0.97435
55,0.0,800,0,0,0.973875
56,0.0,800,0,0,0.9734
57,0.0,800,0,0,0.972925
58,0.0,800,0,0,0.97245
59,0.0,800,0,0,0.971975
60,0.0,800,0,0,0.9715
61,0.0,800,0,0,0.971025
62,0.0,800,0,0,0.97055
63,0.0,800,0,0,0.970075
64,0.0,800,0,0,0.9696
65,0.0,800,0,0,0.969125
66,0.0,800,0,0,0.96865
67,0.0,800,0,0,0.968175
68,0.0,800,0,0,0.9677
69,0.0,800,0,0,0.967225
70,0.0,800,0,0,0.96675
71,0.0,800,0,1,0.966275
72,0.0,800,0,0,0.9658
73,0.0,800,0,0,0.965325
74,0.0,800,0,0,0.96485
75,0.0,800,0,0,0.964375
76,0.0,800,0,0,0.9639
77,0.0,800,0,0,0.963425
78,0.0,800,0,0,0.96295
79,0.0,800,0,0,0.962475
80,0.0,800,0,0,0.962
81,0.0,800,0,0,0.961525
82,0.0,800,0,0,0.96105
83,0.0,800,0,0,0.960575
84,2.0,782,0,2,0.9601
85,0.0,800,0,0,0.959625
86,0.0,800,0,0,0.95915
87,0.0,800,0,0,0.958675
88,0.0,800,0,0,0.9582
89,0.0,800,0,0,0.957725
90,0.0,800,0,0,0.95725
91,0.0,800,0,0,0.956775
92,0.0,800,0,0,0.9563
93,0.0,800,0,0,0.955825
94,0.0,800,0,0,0.95535
95,0.0,800,0,0,0.954875
96,0.0,800,0,0,0.9544
97,0.0,800,0,0,0.953925
98,0.0,800,0,0,0.95345
99,0.0,800,0,0,0.952975
100,0.0,800,0,0,0.9525
101,0.0,800,0,0,0.952025
102,0.0,800,0,0,0.95155
103,0.0,800,0,0,0.951075
104,0.0,800,0,0,0.9506
105,0.0,800,0,0,0.950125
106,0.0,800,0,0,0.94965
107,0.0,800,0,0,0.949175
108,0.0,800,0,0,0.9487
109,0.0,800,0,0,0.948225
110,0.0,800,0,0,0.94775
111,0.0,800,0,0,0.947275
112,0.0,800,0,0,0.9468
113,0.0,800,0,0,0.946325
114,0.0,800,0,0,0.94585
115,0.0,800,0,0,0.945375
116,0.0,800,0,0,0.9449
117,0.0,800,0,0,0.944425
118,0.0,800,0,0,0.94395
119,0.0,800,0,0,0.9434750000000001
120,0.0,800,0,0,0.9430000000000001
121,0.0,800,0,0,0.9425250000000001
122,0.0,800,0,0,0.94205
123,0.0,800,0,1,0.941575
124,0.0,800,0,0,0.9411
125,0.0,800,0,0,0.940625
126,0.0,800,0,0,0.94015
127,0.0,800,0,0,0.939675
128,0.0,800,0,0,0.9392
129,0.0,800,0,0,0.938725
130,0.0,800,0,0,0.93825
131,0.0,800,0,0,0.937775
132,0.0,800,0,0,0.9373
133,0.0,800,0,0,0.936825
134,0.0,800,0,1,0.93635
135,0.0,800,0,0,0.935875
