episode,return,steps,died,collected,epsilon
0,1.0,60,1,1,1.0
1,1.0,70,1,1,0.99988125
2,0.0,95,1,0,0.9997625
3,1.0,178,1,1,0.99964375
4,1.0,41,1,1,0.999525
5,1.0,72,1,1,0.99940625
6,0.0,116,1,0,0.9992875
7,0.0,24,1,0,0.99916875
8,0.0,21,1,0,0.99905
9,0.0,23,1,0,0.99893125
10,0.0,10,1,0,0.9988125
11,0.0,17,1,0,0.99869375
12,0.0,15,1,0,0.998575
13,0.0,64,1,0,0.99845625
14,0.0,8,1,0,0.9983375
15,0.0,41,1,0,0.99821875
16,1.0,81,1,1,0.9981
17,1.0,96,1,1,0.99798125
18,1.0,71,1,1,0.9978625
19,0.0,29,1,0,0.99774375
20,0.0,8,1,0,0.997625
21,0.0,9,1,0,0.99750625
22,0.0,54,1,0,0.9973875
23,0.0,89,1,0,0.99726875
24,0.0,52,1,0,0.99715
25,0.0,35,1,0,0.99703125
26,0.0,23,1,0,0.9969125
27,0.0,51,1,0,0.99679375
28,0.0,16,1,0,0.996675
29,0.0,13,1,0,0.99655625
30,0.0,111,1,0,0.9964375
31,0.0,19,1,0,0.99631875
32,0.0,5,1,0,0.9962
33,0.0,12,1,0,0.99608125
34,0.0,22,1,0,0.9959625
35,0.0,12,1,0,0.99584375
36,0.0,18,1,0,0.995725
37,0.0,26,1,0,0.99560625
38,0.0,32,1,0,0.9954875
39,0.0,15,1,0,0.99536875
40,0.0,8,1,0,0.99525
41,1.0,35,1,1,0.99513125
42,0.0,42,1,0,0.9950125
43,0.0,4,1,0,0.99489375
44,0.0,51,1,0,0.994775
45,0.0,5,1,0,0.99465625
46,2.0,142,1,2,0.9945375
47,1.0,30,1,1,0.99441875
48,0.0,22,1,0,0.9943
49,1.0,179,1,1,0.99418125
50,0.0,130,1,0,0.9940625
51,1.0,298,1,1,0.99394375
52,0.0,88,1,0,0.993825
53,0.0,10,1,0,0.99370625
54,0.0,40,1,0,0.9935875
55,0.0,38,1,0,0.99346875
56,0.0,17,1,0,0.99335
57,0.0,18,1,0,0.99323125
